Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
PHM	front	intro	sz2w			0		# Введение в послание Филимону #\n\n## Часть 1: Общие сведения ##\n\n#### План послания Филимону ####\n\n1. Приветствие Павлом Филимона (1:1-3)\n2. Просьба Павла к Филимону по поводу Онисима (1:4-21)\n3. Заключение (1:22-25)\n\n#### Кто написал послание Филимону? ####\n\nПавел написал это письмо Филимону. Павел был родом из города Тарс. В своей ранней жизни он был известен как Савл. До своего обращения в христианство Павел был фарисеем. Он преследовал христиан. После своего обращения он несколько раз путешествовал по Римской империи, рассказывая людям об Иисусе.\n\nВо время написания этого письма Павел находился в тюрьме. \n\n#### Что представляет собой послание Филимону? ####\n\nПавел написал это письмо человеку по имени Филимон. Филимон был христианином, который жил в городе Колоссы. Он был хозяином раба по имени Онисим. Онисим убежал от Филимона и, вероятно, кое-что украл у него. Онисим отправился в Рим и встретился с Павлом в тюрьме.\n\nПавел написал Филимону, что он посылает Онисима обратно к нему. Согласно Римскому закону Филимон имел право казнить Онисима. Но Павел написал, что Филимон должен принять Онисима обратно как брата во Христе. Он даже предположил, что Филимон должен разрешить Онисиму вернуться к Павлу, чтобы тот помогал ему в тюрьме.\n\n#### Как следует переводить название этой книги? ####\n\nПереводчики могут назвать эту книгу традиционным названием «Филимону». Они также могут выбрать более четкое название, например «Письмо Павла Филимону» или «Письмо, которое Павел написал Филимону». (См: [[rc://ru/ta/man/translate/translate-names]])\n\n## Часть 2: Важные религиозные и культурные концепции ##\n\n#### Поддерживает ли это письмо практику рабовладения? ####\n\nПавел отослал Онисима обратно к своему бывшему хозяину. Но это не означало, что Павел считал рабовладение приемлемой практикой. Вместо этого Павел больше заботился о том, чтобы люди служили Богу в любой ситуации, в которой они находились.\n\n#### Что Павел подразумевал под выражениями «во Христе», «в Господе» и т.д.? ####\n\nС помощью данной фразы Павел выражает идею очень тесного союза между Христом и верующими. Для получения более подробной информации об этих выражениях, пожалуйста, ознакомьтесь с введением к посланию к Римлянам.\n\n## Часть 3: Важные проблемы перевода ##\n\n#### Единственное и множественное число местоимения «вы» ####\n\nВ этой книге местоимение «я» относится к Павлу. Местоимение «ты» почти всегда используется в единственном числе и относится к Филимону. Однако есть два исключения: 1:22 и 1:25. Там «мы» относится к Филимону и тем верующим, которые встречались в его доме. (См: [[rc://ru/ta/man/translate/figs-exclusive]] и [[rc://ru/ta/man/translate/figs-you]])
PHM	1	1	sg4f	rc://*/ta/man/translate/figs-you	Общая информация:	0		Павел трижды идентифицирует себя как автор этого письма. Очевидно, с ним был Тимофей, который скорее всего и записал сказанные Павлом слова. Павел приветствует тех, кто встречается в домашней церкви в доме Филимона. Все случаи использования местоимений «я», «меня» и «моё» относятся к Павлу. Филимон — главный человек, которому было написано это письмо. Все случаи использования местоимений «ты», «тебя» и «твоё» относятся к нему и стоят в единственном числе, если не указано иное. (См: [[rc://ru/ta/man/translate/figs-you]])
PHM	1	1	niq3	rc://*/ta/man/translate/figs-exclusive	Παῦλος, δέσμιος Χριστοῦ Ἰησοῦ, καὶ Τιμόθεος, ὁ ἀδελφὸς; Φιλήμονι	1	Павел, узник Христа Иисуса, и брат Тимофей... Филимону	В вашем языке может быть особый способ представления авторов письма. Альтернативный перевод: «Я, Павел, заключенный за Христа Иисуса, и Тимофей, наш брат, пишем это письмо … Филимону». (См: [[rc://ru/ta/man/translate/figs-exclusive]])
PHM	1	1	cgs4		δέσμιος Χριστοῦ Ἰησοῦ	1	узник Христа Иисуса	«заключенный за Христа Иисуса». Выступающие против проповеди Павла таким образом наказали его, поместив его в тюрьму.
PHM	1	1	sv3p		ὁ ἀδελφὸς	1	брат	Здесь это означает, что данный человек является христианином.
PHM	1	1	r3l9	rc://*/ta/man/translate/figs-exclusive	τῷ ἀγαπητῷ & ἡμῶν	1	любимому... нашему	Здесь местоимение «нашего» относится к Павлу и к находящимся с ним, а не к читателю. (См: [[rc://ru/ta/man/translate/figs-exclusive]])
PHM	1	1	ww3l		καὶ & συνεργῷ	1	и... сотруднику	«который, как и мы, работает для распространения Благой вести».
PHM	1	2	e8su	rc://*/ta/man/translate/figs-exclusive	τῇ ἀδελφῇ & τῷ συνστρατιώτῃ ἡμῶν	1	сестре... соратнику нашему	Местоимение «нашего» здесь относится к Павлу и к находящимся с ним, а не к читателю. (См: [[rc://ru/ta/man/translate/figs-exclusive]])
PHM	1	2	zh5c	rc://*/ta/man/translate/translate-names	Ἀπφίᾳ, τῇ ἀδελφῇ	1	сестре Апфии	В некоторых переводах здесь «дорогую сестру Апфию», что означает, что она была верующей, а не родственницей. Альтернативный перевод: «Апфию, нашу дорогую сестру в Господе» или «Апфию, нашу духовную сестру». (См: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	2	sq44	rc://*/ta/man/translate/translate-names	Ἀρχίππῳ	1	Архипу	Это имя мужчины из церкви Филимона. (См: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	2	mnn5	rc://*/ta/man/translate/figs-metaphor	τῷ συνστρατιώτῃ ἡμῶν	1	соратнику нашему	Павел говорит здесь о Архиппе как об армейском солдате. Это означает, что Архипп так же усердно трудится, как и сам Павел, над распространением Благой вести. Альтернативный перевод: «нашего духовного соратника» или «который также сражается в духовной битве вместе с нами». (См: [[rc://ru/ta/man/translate/figs-metaphor]])
PHM	1	3	r4nq		χάρις ὑμῖν καὶ εἰρήνη, ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ	1	Благодать вам и мир от Бога Отца нашего и Господа нашего Иисуса Христа	«Пусть Бог, наш Отец, и Господь Иисус Христос дадут вам благодать и мир». Это благословение.
PHM	1	3	e5z8	rc://*/ta/man/translate/figs-exclusive	Θεοῦ Πατρὸς ἡμῶν	1	Бога Отца нашего	Здесь местоимение «нашего» относится как к Павлу и находящимся с ним, так и к читателю. (См: [[rc://ru/ta/man/translate/figs-inclusive]])
PHM	1	3	lh8a	rc://*/ta/man/translate/guidelines-sonofgodprinciples	Πατρὸς ἡμῶν	1	Отца нашего	Это важный титул для Бога. (См: [[rc://ru/ta/man/translate/guidelines-sonofgodprinciples]])
PHM	1	4	kh5l	rc://*/ta/man/translate/figs-exclusive	Общая информация:	0		Местоимение «мы» используется во множественном числе и относится к Павлу и находящимся с ним, а также ко всем христианам, включая получателя письма. (См: [[rc://ru/ta/man/translate/figs-inclusive]])
PHM	1	6	t54l		ἡ κοινωνία τῆς πίστεώς σου	1	общение твоей веры	Возможные значения: 1) «чтобы то, как вы рассказываете другим о своей вере, также приводило их к вере» или 2) «чтобы то, как вы верите вместе с нами, привело к пониманию».
PHM	1	6	pxw1		ἐνεργὴς γένηται ἐν ἐπιγνώσει παντὸς ἀγαθοῦ	1	становилось действенным в познании всего добра	«дало хороший результат и помогло понять всё то хорошее, что у нас есть».
PHM	1	6	n25e		εἰς Χριστόν	1	через Христа	«благодаря Христу» или «благодаря тому, что мы принадлежим Христу».
PHM	1	7	aq4g	rc://*/ta/man/translate/figs-metonymy	τὰ σπλάγχνα τῶν ἁγίων ἀναπέπαυται διὰ σοῦ	1	успокоились сердца святых через тебя	Здесь «сердца» — это метонимия эмоций или внутреннего состояния человека. Это можно перефразировать в активной форме. Альтернативный перевод: «благодаря тому, что ты поощрял верующих» или «благодаря твоей помощи верующим». (См: [[rc://ru/ta/man/translate/figs-metonymy]] и [[rc://ru/ta/man/translate/figs-activepassive]])
PHM	1	7	m5ip		σοῦ, ἀδελφέ	1	тебя, брат	«тебе, дорогой брат» или «тебе, дорогой друг». Павел называл Филимона «братом», потому что они оба были верующими, и он подчеркивал их дружбу.
PHM	1	8	ayy1		Связующее утверждение:	0		Павел начинает излагать свою настоятельную просьбу и основную причину написания этого письма.
PHM	1	8	fd84		πολλὴν ἐν Χριστῷ παρρησίαν	1	большую смелость во Христе	Возможные значения: 1) «власть во Христе» или 2) «мужество благодаря Христу». Альтернативный перевод: «имею мужество, потому что Христос дал мне власть».
PHM	1	9	l9fh		διὰ τὴν ἀγάπην	1	из-за любви	Возможные значения: 1) «потому что я знаю, что ты любишь народ Божий», 2) «потому что ты любишь меня» или 3) «потому что я люблю тебя».
PHM	1	10	lsr6		Общая информация:	0		Онисим — это имя мужчины. По-видимому, он был рабом Филимона, он что-то украл у него и убежал.
PHM	1	10	m6fw	rc://*/ta/man/translate/figs-metaphor	τοῦ ἐμοῦ τέκνου & Ὀνήσιμον	1	ребёнке моём... об Онисиме	Во многих переводах «о моём сыне Онисиме». Павел говорит о своих отношениях с Онисимом, как будто они любят друг друга как отец и сын. Онисим не был физическим сыном Павла, но он духовно родился от него, когда Павел учил его об Иисусе, поэтому Павел полюбил его. Альтернативный перевод: «о моём духовном сыне Онисиме». (См: [[rc://ru/ta/man/translate/figs-metaphor]])
PHM	1	10	dj9h	rc://*/ta/man/translate/translate-names	Ὀνήσιμον	1	об Онисиме	Имя «Онисим» означает «выгодный» или «полезный». (См: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	10	mui3	rc://*/ta/man/translate/figs-metaphor	ὃν ἐγέννησα ἐν τοῖς δεσμοῖς	1	которого родил в оковах	Здесь «стал моим сыном» — это метафора, которая означает, что Павел обратил Онисима ко Христу. Альтернативный перевод: «который стал моим духовным сыном, когда я учил его о Христе, и получил новую жизнь, когда я находился в своих цепях» или «который стал для меня сыном, пока я находился в заключении». (См: [[rc://ru/ta/man/translate/figs-metaphor]])
PHM	1	10	nx1p	rc://*/ta/man/translate/figs-metonymy	ἐν τοῖς δεσμοῖς	1	в оковах	«В узах» или «в цепях». Заключенных часто сажали в цепи. Павел был в тюрьме, когда учил Онисима, и все ещё находился в тюрьме, когда писал это письмо. Альтернативный перевод: «пока я был в тюрьме … пока я всё ещё нахожусь в тюрьме». (См: [[rc://ru/ta/man/translate/figs-metonymy]])
PHM	1	12	t1kp		ὃν ἀνέπεμψά σοι	1	которого обратно отправил к тебе	Скорее всего, Павел послал Онисима с другим верующим, который доставил это письмо.
PHM	1	12	h9qv	rc://*/ta/man/translate/figs-metonymy	τοῦτ’ ἔστιν τὰ ἐμὰ σπλάγχνα	1	кто есть моё сердце	Здесь «сердце» является метонимией эмоций человека. Фраза «как моё сердце» — это метафора, означающая горячую любовь к кому-то. Павел говорил так об Онисиме. Альтернативный перевод: «которого я очень сильно люблю». (См: [[rc://ru/ta/man/translate/figs-metonymy]] и [[rc://ru/ta/man/translate/figs-metaphor]])
PHM	1	13	t4xl		ἵνα ὑπὲρ σοῦ μοι διακονῇ	1	чтобы он служил мне вместо тебя	«чтобы он, поскольку ты сам не можешь быть здесь, помогал мне» или «чтобы он мог помогать мне вместо тебя».
PHM	1	13	bb3t	rc://*/ta/man/translate/figs-metonymy	ἐν τοῖς δεσμοῖς	1	в этих оковах	«В узах» или «в цепях». Заключенных часто приковывали цепями. Павел был в тюрьме, когда учил Онисима, и все ещё находился в тюрьме, когда писал это письмо. Альтернативный перевод: «пока я всё ещё нахожусь в тюрьме». (См: [[rc://ru/ta/man/translate/figs-metonymy]])
PHM	1	13	iwa8	rc://*/ta/man/translate/figs-explicit	τοῦ εὐαγγελίου	1	благовестия	Павел находился в тюрьме, потому что он публично проповедовал Евангелие. Это можно сформулировать яснее. Альтернативный перевод: «потому что я проповедовал Евангелие». (См: [[rc://ru/ta/man/translate/figs-explicit]])
PHM	1	14	g9wp	rc://*/ta/man/translate/figs-doublenegatives	χωρὶς δὲ τῆς σῆς γνώμης, οὐδὲν ἠθέλησα ποιῆσαι	1	Но без твоей воли ничего не хотел делать	Павел использует двойное отрицание, которое означает противоположность. Альтернативный перевод: «Но я хотел бы оставить его со мной, только если ты дашь на это своё согласие». (См: [[rc://ru/ta/man/translate/figs-doublenegatives]])
PHM	1	14	jxi7		ἵνα μὴ ὡς κατὰ ἀνάγκην τὸ ἀγαθόν σου ᾖ, ἀλλὰ κατὰ ἑκούσιον	1	чтобы твоё доброе... было не как по принуждению, а добровольно	«Я не хотел, чтобы ты сделал это доброе дело потому, что я приказал это сделать, а потому, что ты сам захотел этого».
PHM	1	14	ngg8		ἀλλὰ κατὰ ἑκούσιον	1	а добровольно	«а потому, что ты по собственному желанию решил сделать то, что правильно»
PHM	1	15	q1dr	rc://*/ta/man/translate/figs-activepassive	τάχα γὰρ διὰ τοῦτο, ἐχωρίσθη πρὸς ὥραν, ἵνα	1	Ведь, возможно, поэтому  он был удалён на время, - чтобы	Это можно перефразировать в активной форме. Альтернативный перевод: «Возможно, причина, по которой Бог забрал у тебя Онисима на какое-то время, это». (См: [[rc://ru/ta/man/translate/figs-activepassive]])
PHM	1	15	fp5v		πρὸς ὥραν	1	на время	«на какой-то промежуток времени».
PHM	1	16	l3e4		ὑπὲρ δοῦλον	1	больше раба	«более ценного, чем раб»
PHM	1	16	f8tz		ἀδελφὸν ἀγαπητόν	1	брата, любимого	«драгоценного брата во Христе»
PHM	1	16	f38v		πόσῳ δὲ μᾶλλον σοὶ	1	а ещё более тебе	«он ещё больше значит для тебя»
PHM	1	16	yub9	rc://*/ta/man/translate/figs-metaphor	καὶ ἐν σαρκὶ	1	и по плоти	«как мужчину». Павел ссылается на то, что Онисим был надежным рабом. (См: [[rc://ru/ta/man/translate/figs-metaphor]])
PHM	1	16	scj1		ἐν Κυρίῳ	1	в Господе	«как брата в Господе» или «потому что он принадлежит Господу».
PHM	1	17	e1j2		εἰ & με ἔχεις κοινωνόν	1	если ты имеешь меня товарищем	«если ты думаешь обо мне, как о сотруднике во Христе».
PHM	1	18	u5m1		τοῦτο ἐμοὶ ἐλλόγα	1	считай это на мне	«скажи, сколько я тебе должен»
PHM	1	19	wb53		ἐγὼ Παῦλος ἔγραψα τῇ ἐμῇ χειρί	1	Я, Павел, написал это моей рукой	«Я, Павел, пишу это сам». Павел написал эту часть письма своей рукой, чтобы Филимон знал, что эти слова были действительно от Павла. Павел действительно заплатил бы ему.
PHM	1	19	gn6c	rc://*/ta/man/translate/figs-irony	ἵνα μὴ λέγω σοι	1	Уж я не говорю тебе	«Мне не нужно напоминать тебе» или «Ты и сам знаешь». Павел говорит, что ему нет смысла напоминать об этом Филимону, но он всё равно говорит ему. Это подчеркивает, что Павел говорит ему истину. (См: [[rc://ru/ta/man/translate/figs-irony]])
PHM	1	19	st7e	rc://*/ta/man/translate/figs-explicit	σεαυτόν μοι προσοφείλεις	1	ты... самого себя мне должен	«ты должен мне свою жизнь». Павел подразумевал, что Филимон не сможет сказать, что Онисим или Павел должны ему что-либо, потому что Филимон был очень многим обязан Павлу. Причину, по которой Филимон был обязан Павлу, можно перевести яснее. Альтернативный перевод: «ты многим обязан мне, потому что я спас твою жизнь» или «ты обязан мне своей жизнью, потому что мои слова спасли тебя». (См: [[rc://ru/ta/man/translate/figs-explicit]])
PHM	1	20	j8lh	rc://*/ta/man/translate/figs-metaphor	ἀνάπαυσόν μου τὰ σπλάγχνα ἐν Χριστῷ	1	Успокой моё сердце во Христе	В некоторых переводах «ободри» или «обрадуй». «Успокой моё сердце» — это метафора, которая означает ободрение или успокоение. Здесь «сердце» — это метонимия для чувств, мыслей или внутреннего состояния человека. Можно перевести яснее, что Павел хотел, чтобы Филимон обрадовал его. Альтернативный перевод: «обрадуй меня во Христе», «утешь меня во Христе» или «освежи моё сердце во Христе, приняв Онисима с любовью». (См: [[rc://ru/ta/man/translate/figs-metaphor]] и [[rc://ru/ta/man/translate/figs-metonymy]] и [[rc://ru/ta/man/translate/figs-explicit]])
PHM	1	21	am1e	rc://*/ta/man/translate/figs-you	Общая информация:	0		Здесь местоимения «вам» и «вашим» используются во множественном числе и относятся к Филимону и верующим, которые встречались в его доме. (См: [[rc://ru/ta/man/translate/figs-you]])
PHM	1	21	xpn6		Связующее утверждение:	0		Павел заканчивает своё письмо и даёт заключительные благословения Филимону и верующим, которые встречались в церкви в доме Филимона.
PHM	1	21	g6fx		πεποιθὼς τῇ ὑπακοῇ σου	1	Уверенный в послушании твоём	«Потому что я уверен, что ты сделаешь то, о чём я тебя прошу».
PHM	1	22	bx62		ἅμα	1	в то... время	«Также»
PHM	1	22	akw1		καὶ ἑτοίμαζέ μοι ξενίαν	1	И... приготовь мне гостевую комнату	«приготовь для меня комнату в своем доме». Павел попросил Филимона сделать это для него.
PHM	1	22	ctr4		χαρισθήσομαι ὑμῖν	1	буду дарован вам	«те, кто удерживает меня в тюрьме, освободят меня, чтобы я мог прийти к вам».
PHM	1	23	x2d8	rc://*/ta/man/translate/translate-names	Ἐπαφρᾶς	1	Епафрас	Это брат во Христе, который находится в заключении с Павлом. (См: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	23	khx1		ὁ συναιχμάλωτός μου ἐν Χριστῷ Ἰησοῦ	1	заключённый вместе со мной во Христе Иисусе	«который находится вместе со мной в тюрьме за служение Иисусу Христу».
PHM	1	24	si6p		Μᾶρκος, Ἀρίσταρχος, Δημᾶς, Λουκᾶς, οἱ συνεργοί μου	1	Марк, Аристарх, Димас, Лукас - сотрудники мои	«Мои соработники Марк, Аристарх, Димас и Лука тоже приветствуют вас»
PHM	1	24	i5gc	rc://*/ta/man/translate/translate-names	Μᾶρκος, Ἀρίσταρχος, Δημᾶς, Λουκᾶς	1	Марк, Аристарх, Димас, Лукас	Это мужские имена. (см.: [[rc://ru/ta/man/translate/translate-names]])
PHM	1	24	gf6e		οἱ συνεργοί μου	1	сотрудники мои	«люди, которые работают со мной» или «те, кто работает со мной».
PHM	1	25	gq7p	rc://*/ta/man/translate/figs-you	ἡ χάρις τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ, μετὰ τοῦ πνεύματος ὑμῶν	1	Благодать Господа нашего Иисуса Христа с духом вашим	Местоимение «нашего» здесь относится к Филимону и всем, кто собирался в его доме. Фраза «ваш дух» — это синекдоха, которая представляет самих людей. Альтернативный перевод: «Пусть наш Господь Иисус Христос будет добр к вам». (См: [[rc://ru/ta/man/translate/figs-you]] и [[rc://ru/ta/man/translate/figs-synecdoche]])
PHM								